matter	dept	mb
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2004-10-26
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2004-12-16
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2005-07-21
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2006-01-27
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2006-09-21
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2007-01-30
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2007-12-03
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2008-01-25
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2008-05-01
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2010-03-08
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2010-05-06
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2010-06-29
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2010-09-14
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2010-10-14
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2011-10-19
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2011-12-07
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2011-12-14
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2012-02-09
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2013-03-25
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2013-05-16
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2013-09-18
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2013-10-03
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2013-12-12
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2014-12-23
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2015-07-09
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2015-09-21
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2015-09-30
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2016-02-18
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2016-07-19
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2016-09-01
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2016-10-27
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2017-04-13
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Attorney-General's	2017-11-30
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Home Affairs	2017-12-20
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Home Affairs	2018-04-19
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Home Affairs	2018-05-10
Protective services at Commonwealth establishments and diplomatic and consular premises in Australia	Home Affairs	2018-08-28
Provision of B2G and G2G authentication services	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-05-16
Provision of B2G and G2G authentication services	Industry	2013-09-18
Provision of B2G and G2G authentication services	Industry	2013-10-03
Provision of B2G and G2G authentication services	Industry	2013-12-12
Provision of B2G and G2G authentication services	Industry and Science	2014-12-23
Provision of B2G and G2G authentication services	Industry and Science	2015-07-09
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2015-09-21
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2015-09-30
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2016-02-18
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2016-07-19
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2016-09-01
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2016-10-27
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2017-04-13
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2017-11-30
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2017-12-20
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2018-04-19
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2018-05-10
Provision of B2G and G2G authentication services	Industry, Innovation and Science	2018-08-28
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2001-11-26
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2003-12-18
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2004-10-26
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2004-12-16
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2005-07-21
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2006-01-27
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2006-09-21
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2007-01-30
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2007-12-03
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2008-01-25
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2008-05-01
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2010-03-08
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2010-05-06
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2010-06-29
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2010-09-14
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2010-10-14
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2011-10-19
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2011-12-07
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2011-12-14
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2012-02-09
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2013-03-25
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2013-05-16
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2013-09-18
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2013-10-03
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2013-12-12
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2014-12-23
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2015-07-09
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2015-09-21
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2015-09-30
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2016-02-18
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2016-07-19
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2016-09-01
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2016-10-27
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2017-04-13
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2017-11-30
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2017-12-20
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2018-04-19
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2018-05-10
Provision of consular services to Australian citizens abroad	Foreign Affairs and Trade	2018-08-28
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2001-11-26
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2003-12-18
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2004-10-26
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2004-12-16
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2005-07-21
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2006-01-27
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2006-09-21
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2007-01-30
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2007-12-03
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2008-01-25
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2008-05-01
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2010-03-08
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2010-05-06
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2010-06-29
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2010-09-14
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2010-10-14
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2011-10-19
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2011-12-07
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2011-12-14
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2012-02-09
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2013-03-25
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2013-05-16
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2013-09-18
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2013-10-03
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2013-12-12
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2014-12-23
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2015-07-09
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2015-09-21
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2015-09-30
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2016-02-18
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2016-07-19
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2016-09-01
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2016-10-27
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2017-04-13
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2017-11-30
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2017-12-20
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2018-04-19
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2018-05-10
Provision to Australian citizens of secure travel identification	Foreign Affairs and Trade	2018-08-28
Public data policy and related matters	Prime Minister and Cabinet	2015-09-30
Public data policy and related matters	Prime Minister and Cabinet	2016-02-18
Public data policy and related matters	Prime Minister and Cabinet	2016-07-19
Public data policy and related matters	Prime Minister and Cabinet	2016-09-01
Public data policy and related matters	Prime Minister and Cabinet	2016-10-27
Public data policy and related matters	Prime Minister and Cabinet	2017-04-13
Public data policy and related matters	Prime Minister and Cabinet	2017-11-30
Public data policy and related matters	Prime Minister and Cabinet	2017-12-20
Public data policy and related matters	Prime Minister and Cabinet	2018-04-19
Public data policy and related matters	Prime Minister and Cabinet	2018-05-10
Public data policy and related matters	Prime Minister and Cabinet	2018-08-28
Public data policy, including Gov 2.0 and related matters	Prime Minister and Cabinet	2015-09-21
Public health and medical research	Health and Ageing	2001-11-26
Public health and medical research	Health and Ageing	2003-12-18
Public health and medical research	Health and Ageing	2004-10-26
Public health and medical research	Health and Ageing	2004-12-16
Public health and medical research	Health and Ageing	2005-07-21
Public health and medical research	Health and Ageing	2006-01-27
Public health and medical research	Health and Ageing	2006-09-21
Public health and medical research	Health and Ageing	2007-01-30
Public health and medical research	Health and Ageing	2007-12-03
Public health and medical research	Health and Ageing	2008-01-25
Public health and medical research	Health and Ageing	2008-05-01
Public health and medical research	Health and Ageing	2010-03-08
Public health and medical research	Health and Ageing	2010-05-06
Public health and medical research	Health and Ageing	2010-06-29
Public health and medical research	Health and Ageing	2010-09-14
Public health, including health protection, and medical research	Health and Ageing	2010-10-14
Public health, including health protection, and medical research	Health and Ageing	2011-10-19
Public health, including health protection, and medical research	Health and Ageing	2011-12-07
Public health, including health protection, and medical research	Health and Ageing	2011-12-14
Public health, including health protection, and medical research	Health and Ageing	2012-02-09
Public health, including health protection, and medical research	Health and Ageing	2013-03-25
Public health, including health protection, and medical research	Health and Ageing	2013-05-16
Public health, including health protection, and medical research	Health	2013-09-18
Public health, including health protection, and medical research	Health	2013-10-03
Public health, including health protection, and medical research	Health	2013-12-12
Public health, including health protection, and medical research	Health	2014-12-23
Public health, including health protection, and medical research	Health	2015-07-09
Public health, including health protection, and medical research	Health	2015-09-21
Public health, including health protection, and medical research	Health	2015-09-30
Public health, including health protection, and medical research	Health	2016-02-18
Public health, including health protection, and medical research	Health	2016-07-19
Public health, including health protection, and medical research	Health	2016-09-01
Public health, including health protection, and medical research	Health	2016-10-27
Public health, including health protection, and medical research	Health	2017-04-13
Public health, including health protection, and medical research	Health	2017-11-30
Public health, including health protection, and medical research	Health	2017-12-20
Public health, including health protection, and medical research	Health	2018-04-19
Public health, including health protection, and medical research	Health	2018-05-10
Public health, including health protection, and medical research	Health	2018-08-28
Radioactive waste management	Education, Science and Training	2001-11-26
Radioactive waste management	Education, Science and Training	2003-12-18
Radioactive waste management	Education, Science and Training	2004-10-26
Radioactive waste management	Education, Science and Training	2004-12-16
Radioactive waste management	Education, Science and Training	2005-07-21
Radioactive waste management	Education, Science and Training	2006-01-27
Radioactive waste management	Education, Science and Training	2006-09-21
Radioactive waste management	Education, Science and Training	2007-01-30
Radioactive waste management	Resources, Energy and Tourism	2007-12-03
Radioactive waste management	Resources, Energy and Tourism	2008-01-25
Radioactive waste management	Resources, Energy and Tourism	2008-05-01
Radioactive waste management	Resources, Energy and Tourism	2010-03-08
Radioactive waste management	Resources, Energy and Tourism	2010-05-06
Radioactive waste management	Resources, Energy and Tourism	2010-06-29
Radioactive waste management	Resources, Energy and Tourism	2010-09-14
Radioactive waste management	Resources, Energy and Tourism	2010-10-14
Radioactive waste management	Resources, Energy and Tourism	2011-10-19
Radioactive waste management	Resources, Energy and Tourism	2011-12-07
Radioactive waste management	Resources, Energy and Tourism	2011-12-14
Radioactive waste management	Resources, Energy and Tourism	2012-02-09
Radioactive waste management	Resources, Energy and Tourism	2013-03-25
Radioactive waste management	Resources, Energy and Tourism	2013-05-16
Radioactive waste management	Industry	2013-09-18
Radioactive waste management	Industry	2013-10-03
Radioactive waste management	Industry	2013-12-12
Radioactive waste management	Industry and Science	2014-12-23
Radioactive waste management	Industry and Science	2015-07-09
Radioactive waste management	Industry, Innovation and Science	2015-09-21
Radioactive waste management	Industry, Innovation and Science	2015-09-30
Radioactive waste management	Industry, Innovation and Science	2016-02-18
Radioactive waste management	Industry, Innovation and Science	2016-07-19
Radioactive waste management	Industry, Innovation and Science	2016-09-01
Radioactive waste management	Industry, Innovation and Science	2016-10-27
Radioactive waste management	Industry, Innovation and Science	2017-04-13
Radioactive waste management	Industry, Innovation and Science	2017-11-30
Radioactive waste management	Industry, Innovation and Science	2017-12-20
Radioactive waste management	Industry, Innovation and Science	2018-04-19
Radioactive waste management	Industry, Innovation and Science	2018-05-10
Radioactive waste management	Industry, Innovation and Science	2018-08-28
Reducing the burden of government regulation	Finance and Deregulation	2008-01-25
Reducing the burden of government regulation	Finance and Deregulation	2008-05-01
Reducing the burden of government regulation	Finance and Deregulation	2010-03-08
Reducing the burden of government regulation	Finance and Deregulation	2010-05-06
Reducing the burden of government regulation	Finance and Deregulation	2010-06-29
Reducing the burden of government regulation	Finance and Deregulation	2010-09-14
Reducing the burden of government regulation	Finance and Deregulation	2010-10-14
Reducing the burden of government regulation	Finance and Deregulation	2011-10-19
Reducing the burden of government regulation	Finance and Deregulation	2011-12-07
Reducing the burden of government regulation	Finance and Deregulation	2011-12-14
Reducing the burden of government regulation	Finance and Deregulation	2012-02-09
Reducing the burden of government regulation	Finance and Deregulation	2013-03-25
Reducing the burden of government regulation	Finance and Deregulation	2013-05-16
Reducing the burden of government regulation General policy guidelines for Commonwealth statutory authorities	Finance and Deregulation	2007-12-03
Regional Australia policy and co-ordination	Regional Australia, Regional Development and Local Government	2010-09-14
Regional Australia policy and co-ordination	Regional Australia, Regional Development and Local Government	2010-10-14
Regional Australia policy and co-ordination	Regional Australia, Regional Development and Local Government	2011-10-19
Regional Australia policy and co-ordination	Regional Australia, Regional Development and Local Government	2011-12-07
Regional Australia policy and co-ordination	Regional Australia, Local Government, Arts and Sport	2011-12-14
Regional development	Transport and Regional Services	2001-11-26
Regional development	Transport and Regional Services	2003-12-18
Regional development	Transport and Regional Services	2004-10-26
Regional development	Transport and Regional Services	2004-12-16
Regional development	Transport and Regional Services	2005-07-21
Regional development	Transport and Regional Services	2006-01-27
Regional development	Transport and Regional Services	2006-09-21
Regional development	Transport and Regional Services	2007-01-30
Regional development	Infrastructure, Transport, Regional Development and Local Government	2007-12-03
Regional development	Infrastructure, Transport, Regional Development and Local Government	2008-01-25
Regional development	Infrastructure, Transport, Regional Development and Local Government	2008-05-01
Regional development	Infrastructure, Transport, Regional Development and Local Government	2010-03-08
Regional development	Infrastructure, Transport, Regional Development and Local Government	2010-05-06
Regional development	Infrastructure, Transport, Regional Development and Local Government	2010-06-29
Regional development	Regional Australia, Regional Development and Local Government	2010-09-14
Regional development	Regional Australia, Regional Development and Local Government	2010-10-14
Regional development	Regional Australia, Regional Development and Local Government	2011-10-19
Regional development	Regional Australia, Regional Development and Local Government	2011-12-07
Regional development	Regional Australia, Local Government, Arts and Sport	2011-12-14
Regional development	Regional Australia, Local Government, Arts and Sport	2012-02-09
Regional development	Regional Australia, Local Government, Arts and Sport	2013-03-25
Regional development	Regional Australia, Local Government, Arts and Sport	2013-05-16
Regional development	Infrastructure and Regional Development	2013-09-18
Regional development	Infrastructure and Regional Development	2013-10-03
Regional development	Infrastructure and Regional Development	2013-12-12
Regional development	Infrastructure and Regional Development	2014-12-23
Regional development	Infrastructure and Regional Development	2015-07-09
Regional development	Infrastructure and Regional Development	2015-09-21
Regional development	Infrastructure and Regional Development	2015-09-30
Regional development	Infrastructure and Regional Development	2016-02-18
Regional development	Infrastructure and Regional Development	2016-07-19
Regional development	Infrastructure and Regional Development	2016-09-01
Regional development	Infrastructure and Regional Development	2016-10-27
Regional development	Infrastructure and Regional Development	2017-04-13
Regional development	Infrastructure and Regional Development	2017-11-30
Regional development	Infrastructure, Regional Development and Cities	2017-12-20
Regional development	Infrastructure, Regional Development and Cities	2018-04-19
Regional development	Infrastructure, Regional Development and Cities	2018-05-10
Regional development	Infrastructure, Regional Development and Cities	2018-08-28
Regional policy and co-ordination	Regional Australia, Local Government, Arts and Sport	2012-02-09
Regional policy and co-ordination	Regional Australia, Local Government, Arts and Sport	2013-03-25
Regional policy and co-ordination	Regional Australia, Local Government, Arts and Sport	2013-05-16
Regional policy and co-ordination	Infrastructure and Regional Development	2013-09-18
Regional policy and co-ordination	Infrastructure and Regional Development	2013-10-03
Regional policy and co-ordination	Infrastructure and Regional Development	2013-12-12
Regional policy and co-ordination	Infrastructure and Regional Development	2014-12-23
Regional policy and co-ordination	Infrastructure and Regional Development	2015-07-09
Regional policy and co-ordination	Infrastructure and Regional Development	2015-09-21
Regional policy and co-ordination	Infrastructure and Regional Development	2015-09-30
Regional policy and co-ordination	Infrastructure and Regional Development	2016-02-18
Regional policy and co-ordination	Infrastructure and Regional Development	2016-07-19
Regional policy and co-ordination	Infrastructure and Regional Development	2016-09-01
Regional policy and co-ordination	Infrastructure and Regional Development	2016-10-27
Regional policy and co-ordination	Infrastructure and Regional Development	2017-04-13
Regional policy and co-ordination	Infrastructure and Regional Development	2017-11-30
Regional policy and co-ordination	Infrastructure, Regional Development and Cities	2017-12-20
Regional policy and co-ordination	Infrastructure, Regional Development and Cities	2018-04-19
Regional policy and co-ordination	Infrastructure, Regional Development and Cities	2018-05-10
Regional policy and co-ordination	Infrastructure, Regional Development and Cities	2018-08-28
Regulation of therapeutic goods	Health and Ageing	2001-11-26
Regulation of therapeutic goods	Health and Ageing	2003-12-18
Regulation of therapeutic goods	Health and Ageing	2004-10-26
Regulation of therapeutic goods	Health and Ageing	2004-12-16
Regulation of therapeutic goods	Health and Ageing	2005-07-21
Regulation of therapeutic goods	Health and Ageing	2006-01-27
Regulation of therapeutic goods	Health and Ageing	2006-09-21
Regulation of therapeutic goods	Health and Ageing	2007-01-30
Regulation of therapeutic goods	Health and Ageing	2007-12-03
Regulation of therapeutic goods	Health and Ageing	2008-01-25
Regulation of therapeutic goods	Health and Ageing	2008-05-01
Regulation of therapeutic goods	Health and Ageing	2010-03-08
Regulation of therapeutic goods	Health and Ageing	2010-05-06
Regulation of therapeutic goods	Health and Ageing	2010-06-29
Regulation of therapeutic goods	Health and Ageing	2010-09-14
Regulation of therapeutic goods	Health and Ageing	2010-10-14
Regulation of therapeutic goods	Health and Ageing	2011-10-19
Regulation of therapeutic goods	Health and Ageing	2011-12-07
Regulation of therapeutic goods	Health and Ageing	2011-12-14
Regulation of therapeutic goods	Health and Ageing	2012-02-09
Regulation of therapeutic goods	Health and Ageing	2013-03-25
Regulation of therapeutic goods	Health and Ageing	2013-05-16
Regulation of therapeutic goods	Health	2013-09-18
Regulation of therapeutic goods	Health	2013-10-03
Regulation of therapeutic goods	Health	2013-12-12
Regulation of therapeutic goods	Health	2014-12-23
Regulation of therapeutic goods	Health	2015-07-09
Regulation of therapeutic goods	Health	2015-09-21
Regulation of therapeutic goods	Health	2015-09-30
Regulation of therapeutic goods	Health	2016-02-18
Regulation of therapeutic goods	Health	2016-07-19
Regulation of therapeutic goods	Health	2016-09-01
Regulation of therapeutic goods	Health	2016-10-27
Regulation of therapeutic goods	Health	2017-04-13
Regulation of therapeutic goods	Health	2017-11-30
Regulation of therapeutic goods	Health	2017-12-20
Regulation of therapeutic goods	Health	2018-04-19
Regulation of therapeutic goods	Health	2018-05-10
Regulation of therapeutic goods	Health	2018-08-28
Renewable energy	Climate Change and Energy Efficiency	2010-09-14
Renewable energy	Climate Change and Energy Efficiency	2010-10-14
Renewable energy	Climate Change and Energy Efficiency	2011-10-19
Renewable energy	Climate Change and Energy Efficiency	2011-12-07
Renewable energy	Climate Change and Energy Efficiency	2011-12-14
Renewable energy	Climate Change and Energy Efficiency	2012-02-09
Renewable energy	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-03-25
Renewable energy	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-05-16
Renewable energy	Environment	2013-09-18
Renewable energy	Environment	2013-10-03
Renewable energy	Environment	2013-12-12
Renewable energy	Environment	2014-12-23
Renewable energy	Environment	2015-07-09
Renewable energy	Environment	2015-09-21
Renewable energy	Environment	2015-09-30
Renewable energy	Environment	2016-02-18
Renewable energy	Environment and Energy	2016-07-19
Renewable energy	Environment and Energy	2016-09-01
Renewable energy	Environment and Energy	2016-10-27
Renewable energy	Environment and Energy	2017-04-13
Renewable energy	Environment and Energy	2017-11-30
Renewable energy	Environment and Energy	2017-12-20
Renewable energy	Environment and Energy	2018-04-19
Renewable energy	Environment and Energy	2018-05-10
Renewable energy	Environment and Energy	2018-08-28
Renewable energy policy, regulation and co-ordination	Climate Change	2007-12-03
Renewable energy programs	Environment, Water, Heritage and the Arts	2008-01-25
Renewable energy programs	Environment, Water, Heritage and the Arts	2008-05-01
Renewable energy programs	Climate Change and Energy Efficiency	2010-03-08
Renewable energy programs	Climate Change and Energy Efficiency	2010-05-06
Renewable energy programs	Climate Change and Energy Efficiency	2010-06-29
Renewable energy target policy, regulation and co-ordination	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-03-25
Renewable energy target policy, regulation and co-ordination	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-05-16
Renewable energy target policy, regulation and co-ordination	Environment	2013-09-18
Renewable energy target policy, regulation and co-ordination	Environment	2013-10-03
Renewable energy target policy, regulation and co-ordination	Environment	2013-12-12
Renewable energy target policy, regulation and co-ordination	Environment	2014-12-23
Renewable energy target policy, regulation and co-ordination	Environment	2015-07-09
Renewable energy target policy, regulation and co-ordination	Environment	2015-09-21
Renewable energy target policy, regulation and co-ordination	Environment	2015-09-30
Renewable energy target policy, regulation and co-ordination	Environment	2016-02-18
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2016-07-19
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2016-09-01
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2016-10-27
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2017-04-13
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2017-11-30
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2017-12-20
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2018-04-19
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2018-05-10
Renewable energy target policy, regulation and co-ordination	Environment and Energy	2018-08-28
Renewable energy technology development	Resources, Energy and Tourism	2007-12-03
Renewable energy technology development	Resources, Energy and Tourism	2008-01-25
Renewable energy technology development	Resources, Energy and Tourism	2008-05-01
Renewable energy technology development	Resources, Energy and Tourism	2010-03-08
Renewable energy technology development	Resources, Energy and Tourism	2010-05-06
Renewable energy technology development	Resources, Energy and Tourism	2010-06-29
Renewable energy technology development	Resources, Energy and Tourism	2010-09-14
Renewable energy technology development	Resources, Energy and Tourism	2010-10-14
Renewable energy technology development	Resources, Energy and Tourism	2011-10-19
Renewable energy technology development	Resources, Energy and Tourism	2011-12-07
Renewable energy technology development	Resources, Energy and Tourism	2011-12-14
Renewable energy technology development	Resources, Energy and Tourism	2012-02-09
Renewable energy technology development	Resources, Energy and Tourism	2013-03-25
Renewable energy technology development	Resources, Energy and Tourism	2013-05-16
Renewable energy technology development	Industry	2013-09-18
Renewable energy technology development	Industry	2013-10-03
Renewable energy technology development	Industry	2013-12-12
Renewable energy technology development	Industry and Science	2014-12-23
Renewable energy technology development	Industry and Science	2015-07-09
Renewable energy technology development	Environment	2015-09-21
Renewable energy technology development	Environment	2015-09-30
Renewable energy technology development	Environment	2016-02-18
Renewable energy technology development	Environment and Energy	2016-07-19
Renewable energy technology development	Environment and Energy	2016-09-01
Renewable energy technology development	Environment and Energy	2016-10-27
Renewable energy technology development	Environment and Energy	2017-04-13
Renewable energy technology development	Environment and Energy	2017-11-30
Renewable energy technology development	Environment and Energy	2017-12-20
Renewable energy technology development	Environment and Energy	2018-04-19
Renewable energy technology development	Environment and Energy	2018-05-10
Renewable energy technology development	Environment and Energy	2018-08-28
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2001-11-26
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2003-12-18
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2004-10-26
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2004-12-16
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2005-07-21
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2006-01-27
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2006-09-21
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2007-01-30
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2013-09-18
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2013-10-03
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2013-12-12
Repatriation income support, compensation and health programmes for veterans, members of the Defence Force, certain mariners and their dependants	Veterans' Affairs	2014-12-23
